"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"86","GTD","Katherine Legge","3","1:39.372","3:41.387","Yellow","Track","0.812","1.398","12.359","17.994","34.197","6.623","18.530","7.459","85.297"
"44","GTD","John Potter","3","1:39.696","3:42.543","Yellow","Track","0.793","1.398","12.374","18.156","34.494","6.459","18.330","7.692","87.341"
"33","GTD","Ben Keating","3","1:39.442","3:43.468","Yellow","Track","0.842","1.401","11.894","18.313","34.871","6.688","17.611","7.822","82.258"
"3","GTLM","Antonio Garcia","4","1:34.518","4:58.491","Yellow","Track","1.185","2.122","16.524","16.174","23.248","9.613","18.785","6.867","58.448"
"912","GTLM","Laurens Vanthoor","4","1:34.543","4:59.385","Yellow","Track","1.205","2.168","16.146","16.155","23.657","9.336","19.200","6.676","57.478"
"4","GTLM","Tommy Milner","4","1:34.517","5:00.940","Yellow","Track","1.235","2.213","15.321","15.996","23.734","9.247","19.978","6.793","56.082"
"66","GTLM","Dirk Mueller","4","1:34.484","5:01.968","Yellow","Track","1.191","2.188","15.795","16.000","24.334","8.493","19.610","6.873","58.154"
"24","GTLM","John Edwards","4","1:34.846","5:03.162","Yellow","Track","1.227","2.186","15.593","16.121","24.832","9.328","18.176","7.383","56.448"
"67","GTLM","Richard Westbrook","4","1:33.868","5:05.928","Yellow","Track","1.547","2.538","12.029","16.880","26.221","8.155","17.892","8.606","44.771"
"25","GTLM","Connor De Phillippi","4","1:33.746","5:06.278","Yellow","Track","1.847","2.816","14.501","16.017","24.109","10.127","17.251","7.078","37.499"
"911","GTLM","Patrick Pilet","4","1:34.552","5:07.704","Yellow","Track","1.811","3.062","14.399","16.811","23.883","10.420","17.750","6.416","38.245"
"58","GTD","Patrick Long","4","1:33.615","5:08.878","Yellow","Track","1.731","2.604","13.624","17.488","24.012","10.022","17.797","6.337","40.012"
"15","GTD","Jack Hawksworth","4","1:33.149","5:09.104","Yellow","Track","1.870","2.955","13.288","17.958","24.016","9.913","17.230","5.919","37.038"
"14","GTD","Dominik Baumann","4","1:33.882","5:10.912","Yellow","Track","1.731","2.988","13.175","17.586","24.809","9.812","17.602","6.179","40.012"
"48","GTD","Bryan Sellers","4","1:33.901","5:11.728","Yellow","Track","1.652","3.175","13.246","17.449","24.649","10.142","18.011","5.577","41.926"
"63","GTD","Cooper MacNeil","4","1:33.925","5:13.423","Yellow","Track","1.302","2.719","12.937","17.872","24.821","10.074","18.551","5.649","53.196"
"86","GTD","Katherine Legge","4","1:37.117","5:18.504","Yellow","Track","1.277","2.369","14.013","16.977","25.326","9.048","20.299","7.808","54.238"
"44","GTD","John Potter","4","1:36.715","5:19.258","Yellow","Track","1.337","2.355","13.941","16.794","25.458","8.562","20.512","7.756","51.804"
"33","GTD","Ben Keating","4","1:37.478","5:20.946","Yellow","Track","1.301","2.116","14.115","16.648","25.663","9.379","20.097","8.159","53.237"
"3","GTLM","Antonio Garcia","5","1:33.942","6:32.433","Yellow","Track","1.211","2.168","15.044","16.509","23.268","9.590","19.291","6.861","57.194"
"912","GTLM","Laurens Vanthoor","5","1:34.070","6:33.455","Yellow","Track","1.196","2.169","15.222","16.367","23.234","9.547","19.557","6.778","57.911"
"4","GTLM","Tommy Milner","5","1:33.519","6:34.459","Yellow","Track","1.138","2.044","14.922","16.129","23.303","9.298","20.044","6.641","60.862"
"66","GTLM","Dirk Mueller","5","1:33.609","6:35.577","Yellow","Track","1.131","2.043","15.504","16.306","24.026","9.101","19.224","6.274","61.239"
"24","GTLM","John Edwards","5","1:33.396","6:36.558","Yellow","Track","1.284","2.317","15.214","15.739","24.390","9.481","19.300","5.671","53.942"
"67","GTLM","Richard Westbrook","5","1:33.842","6:39.770","Yellow","Track","1.528","2.895","12.514","16.331","25.701","8.735","19.428","6.710","45.328"
"25","GTLM","Connor De Phillippi","5","1:34.899","6:41.177","Yellow","Track","1.626","3.088","15.146","13.793","25.843","9.923","18.971","6.509","42.596"
"911","GTLM","Patrick Pilet","5","1:35.008","6:42.712","Yellow","Track","1.445","2.691","15.589","13.682","25.567","9.917","18.869","7.248","47.932"
"58","GTD","Patrick Long","5","1:35.591","6:44.469","Yellow","Track","1.503","4.681","13.797","13.653","26.003","9.234","19.184","7.536","46.082"
"15","GTD","Jack Hawksworth","5","1:36.384","6:45.488","Yellow","Track","1.405","4.788","14.611","13.718","25.865","10.887","17.329","7.781","49.296"
"14","GTD","Dominik Baumann","5","1:35.537","6:46.449","Yellow","Track","1.434","4.014","13.950","14.348","26.674","10.145","17.836","7.136","48.299"
"48","GTD","Bryan Sellers","5","1:35.575","6:47.303","Yellow","Track","1.555","4.127","14.433","13.838","26.647","10.475","17.166","7.334","44.541"
"63","GTD","Cooper MacNeil","5","1:35.651","6:49.074","Yellow","Track","1.446","3.807","15.159","13.390","26.857","9.605","17.693","7.694","47.899"
"86","GTD","Katherine Legge","5","1:32.343","6:50.847","Yellow","Track","1.300","2.360","13.237","14.001","25.942","9.641","17.738","8.124","53.278"
"44","GTD","John Potter","5","1:32.478","6:51.736","Yellow","Track","1.296","2.507","13.720","13.813","25.825","9.672","17.528","8.117","53.442"
"33","GTD","Ben Keating","5","1:32.361","6:53.307","Yellow","Track","1.212","1.977","13.715","14.293","25.937","9.395","17.607","8.225","57.146"
"3","GTLM","Antonio Garcia","6","1:30.683","8:03.116","Yellow","Track","1.271","2.278","15.985","15.237","22.236","8.982","18.005","6.689","54.494"
"912","GTLM","Laurens Vanthoor","6","1:31.297","8:04.752","Yellow","Track","1.228","2.231","15.621","15.359","22.441","8.724","19.063","6.630","56.402"
"4","GTLM","Tommy Milner","6","1:31.659","8:06.118","Yellow","Track","1.190","2.498","15.457","15.141","22.457","9.633","18.698","6.585","58.203"
"66","GTLM","Dirk Mueller","6","1:32.557","8:08.134","Yellow","Track","1.160","2.157","15.980","15.353","23.024","9.429","18.510","6.944","59.708"
"24","GTLM","John Edwards","6","1:32.390","8:08.948","Yellow","Track","1.139","2.240","16.534","15.394","22.322","10.462","18.147","6.152","60.809"
"67","GTLM","Richard Westbrook","6","1:34.529","8:14.299","Yellow","Track","1.250","2.473","13.950","16.616","22.188","10.499","19.155","8.398","55.409"
"25","GTLM","Connor De Phillippi","6","1:34.885","8:16.062","Yellow","Track","1.000","2.006","15.425","17.285","21.418","11.201","19.099","7.451","69.261"
"911","GTLM","Patrick Pilet","6","1:34.319","8:17.031","Yellow","Track","1.049","1.924","14.689","17.236","22.882","10.175","19.510","6.854","66.026"
"58","GTD","Patrick Long","6","1:33.913","8:18.382","Yellow","Track","1.136","1.930","14.671","16.675","23.084","9.833","20.011","6.573","60.970"
"15","GTD","Jack Hawksworth","6","1:33.938","8:19.426","Yellow","Track","1.040","1.815","16.992","14.551","22.979","9.967","21.071","5.523","66.597"
"14","GTD","Dominik Baumann","6","1:34.095","8:20.544","Yellow","Track","0.968","1.749","16.984","14.437","23.303","9.998","21.177","5.479","71.551"
"48","GTD","Bryan Sellers","6","1:34.576","8:21.879","Yellow","Track","0.956","1.634","19.140","12.436","23.767","10.039","21.553","5.051","72.449"
"63","GTD","Cooper MacNeil","6","1:35.211","8:24.285","Yellow","Track","1.074","1.575","18.277","12.515","23.965","9.690","21.936","6.179","64.489"
"86","GTD","Katherine Legge","6","1:37.729","8:28.576","Yellow","Track","1.199","2.035","17.218","12.748","23.591","10.115","23.223","7.600","57.766"
"44","GTD","John Potter","6","1:37.633","8:29.369","Yellow","Track","1.209","1.990","17.158","12.742","23.911","9.977","23.001","7.645","57.288"
"33","GTD","Ben Keating","6","1:38.009","8:31.316","Yellow","Track","1.252","2.081","17.039","13.409","23.084","10.083","22.738","8.323","55.321"
"3","GTLM","Antonio Garcia","7","1:34.463","9:37.579","Yellow","Track","1.225","1.896","14.645","16.847","22.887","10.578","19.541","6.844","56.540"
"912","GTLM","Laurens Vanthoor","7","1:33.539","9:38.291","Yellow","Track","1.200","2.146","14.181","16.269","23.403","10.245","19.552","6.543","57.718"
"4","GTLM","Tommy Milner","7","1:34.810","9:40.928","Yellow","Track","1.144","2.062","13.757","16.180","24.028","10.186","19.594","7.859","60.543"
"66","GTLM","Dirk Mueller","7","1:34.182","9:42.316","Yellow","Track","1.149","1.937","13.559","16.137","25.709","9.392","19.314","6.985","60.280"
"24","GTLM","John Edwards","7","1:34.524","9:43.472","Yellow","Track","1.144","2.102","14.496","14.628","25.864","9.358","19.791","7.141","60.543"
"67","GTLM","Richard Westbrook","7","1:33.825","9:48.124","Yellow","Track","1.480","2.073","10.843","14.064","28.124","7.707","21.374","8.160","46.798"
"25","GTLM","Connor De Phillippi","7","1:32.985","9:49.047","Yellow","Track","1.482","2.459","13.209","11.794","26.716","9.193","19.789","8.343","46.735"
"911","GTLM","Patrick Pilet","7","1:33.658","9:50.689","Yellow","Track","1.378","2.572","12.920","11.940","27.013","8.308","20.935","8.592","50.262"
"58","GTD","Patrick Long","7","1:33.580","9:51.962","Yellow","Track","1.336","3.112","12.891","12.122","26.761","8.560","20.986","7.812","51.842"
"15","GTD","Jack Hawksworth","7","1:33.005","9:52.431","Yellow","Track","1.304","3.080","13.962","11.430","26.552","9.628","20.190","6.859","53.115"
"14","GTD","Dominik Baumann","7","1:33.333","9:53.877","Yellow","Track","1.444","3.121","14.290","11.113","26.266","10.137","19.801","7.161","47.965"
"48","GTD","Bryan Sellers","7","1:33.685","9:55.564","Yellow","Track","1.148","3.049","14.228","11.223","26.031","10.509","19.527","7.970","60.332"
"63","GTD","Cooper MacNeil","7","1:32.536","9:56.821","Yellow","Track","1.111","2.043","13.799","11.146","26.220","10.842","19.195","8.180","62.341"
"86","GTD","Katherine Legge","7","1:29.719","9:58.295","Yellow","Track","1.245","2.076","12.133","12.124","23.652","12.371","17.752","8.366","55.632"
"44","GTD","John Potter","7","1:29.746","9:59.115","Yellow","Track","1.255","2.172","12.642","11.861","23.556","11.973","17.911","8.376","55.188"
"33","GTD","Ben Keating","7","1:29.611","10:00.927","Yellow","Track","1.238","2.158","13.653","12.515","21.282","11.865","18.029","8.871","55.946"
"3","GTLM","Antonio Garcia","8","1:23.674","11:01.253","Green","Track","1.072","2.146","14.944","15.454","24.404","10.455","12.415","2.784","64.609"
"912","GTLM","Laurens Vanthoor","8","1:23.564","11:01.855","Green","Track","1.211","2.134","15.119","15.207","24.525","10.176","12.422","2.770","57.194"
"4","GTLM","Tommy Milner","8","1:21.347","11:02.275","Green","Track","0.943","2.299","13.880","14.594","24.447","10.052","12.375","2.757","73.448"
"66","GTLM","Dirk Mueller","8","1:20.399","11:02.715","Green","Track","1.455","2.731","13.193","14.457","23.953","9.846","12.002","2.762","47.602"
"24","GTLM","John Edwards","8","1:19.572","11:03.044","Green","Track","1.213","2.294","14.578","13.256","24.096","9.452","11.945","2.738","57.099"
"67","GTLM","Richard Westbrook","8","1:15.359","11:03.483","Green","Track","1.561","2.843","11.834","11.654","23.949","9.296","11.452","2.770","44.370"
"25","GTLM","Connor De Phillippi","8","1:14.793","11:03.840","Green","Track","1.301","2.619","14.499","11.555","21.325","9.410","11.373","2.711","53.237"
"911","GTLM","Patrick Pilet","8","1:13.834","11:04.523","Green","Track","1.368","2.459","14.057","11.155","21.040","9.495","11.520","2.740","50.630"
"58","GTD","Patrick Long","8","1:13.739","11:05.701","Green","Track","1.460","3.226","14.282","10.842","21.220","9.228","10.687","2.794","47.439"
"15","GTD","Jack Hawksworth","8","1:13.773","11:06.204","Green","Track","1.368","3.217","14.958","10.789","20.877","9.169","10.594","2.801","50.630"
"14","GTD","Dominik Baumann","8","1:12.734","11:06.611","Green","Track","1.237","2.901","16.426","10.794","18.914","9.106","10.540","2.816","55.991"
"48","GTD","Bryan Sellers","8","1:11.973","11:07.537","Green","Track","0.844","2.602","16.313","10.823","18.548","9.309","10.706","2.828","82.063"
"63","GTD","Cooper MacNeil","8","1:11.216","11:08.037","Green","Track","0.957","2.336","15.972","10.717","18.344","9.298","10.785","2.807","72.373"
"86","GTD","Katherine Legge","8","1:10.135","11:08.430","Green","Track","1.134","2.391","15.440","11.128","17.236","9.142","10.821","2.843","61.077"
"44","GTD","John Potter","8","1:09.759","11:08.874","Green","Track","1.261","2.305","15.314","11.238","16.887","9.048","10.866","2.840","54.926"
"33","GTD","Ben Keating","8","1:08.113","11:09.040","Green","Track","1.137","1.951","15.181","11.027","16.365","9.034","10.624","2.794","60.916"
"3","GTLM","Antonio Garcia","9","52.309","11:53.562","Green","Track","0.472","0.840","10.203","10.485","13.425","5.291","8.896","2.697","146.740"
"912","GTLM","Laurens Vanthoor","9","52.112","11:53.967","Green","Track","0.470","0.840","9.996","10.471","13.406","5.305","8.922","2.702","147.365"
"4","GTLM","Tommy Milner","9","52.044","11:54.319","Green","Track","0.466","0.836","10.120","10.383","13.400","5.241","8.913","2.685","148.630"
"66","GTLM","Dirk Mueller","9","52.414","11:55.129","Green","Track","0.467","0.832","10.141","10.530","13.630","5.255","8.867","2.692","148.311"
"24","GTLM","John Edwards","9","52.932","11:55.976","Green","Track","0.464","0.834","10.296","10.736","13.655","5.295","8.965","2.687","149.270"
"67","GTLM","Richard Westbrook","9","52.907","11:56.390","Green","Track","0.468","0.834","10.119","10.706","13.771","5.326","8.995","2.688","147.994"
"25","GTLM","Connor De Phillippi","9","52.839","11:56.679","Green","Track","0.469","0.871","10.071","10.581","13.977","5.254","8.947","2.669","147.679"
"911","GTLM","Patrick Pilet","9","52.724","11:57.247","Green","Track","0.461","0.832","10.036","10.464","13.792","5.337","9.087","2.715","150.242"
"58","GTD","Patrick Long","9","52.865","11:58.566","Green","Track","0.474","0.846","9.951","10.691","13.697","5.327","9.115","2.764","146.121"
"15","GTD","Jack Hawksworth","9","53.283","11:59.487","Green","Track","0.477","0.851","10.019","10.675","13.885","5.356","9.226","2.794","145.202"
"14","GTD","Dominik Baumann","9","53.475","12:00.086","Green","Track","0.477","0.850","10.041","10.773","13.865","5.420","9.285","2.764","145.202"
"48","GTD","Bryan Sellers","9","53.343","12:00.880","Green","Track","0.478","0.854","10.029","10.573","13.842","5.414","9.357","2.796","144.898"
"63","GTD","Cooper MacNeil","9","53.367","12:01.404","Green","Track","0.476","0.846","10.065","10.649","13.798","5.434","9.329","2.770","145.507"
"86","GTD","Katherine Legge","9","53.701","12:02.131","Green","Track","0.479","0.852","10.272","10.850","13.809","5.378","9.264","2.797","144.596"
"33","GTD","Ben Keating","9","54.834","12:03.874","Green","Track","0.476","0.848","0.000","0.000","14.163","5.394","9.269","2.790","145.507"
"44","GTD","John Potter","9","57.061","12:05.935","Green","Track","0.479","0.854","10.548","11.290","15.805","5.743","9.492","2.850","144.596"
"3","GTLM","Antonio Garcia","10","51.763","12:45.325","Green","Track","0.458","0.820","9.893","10.313","13.466","5.264","8.864","2.685","151.226"
"912","GTLM","Laurens Vanthoor","10","51.910","12:45.877","Green","Track","0.458","0.818","9.825","10.406","13.407","5.331","8.957","2.708","151.226"
"4","GTLM","Tommy Milner","10","51.903","12:46.222","Green","Track","0.456","0.814","9.785","10.516","13.438","5.257","8.952","2.685","151.889"
"66","GTLM","Dirk Mueller","10","51.434","12:46.563","Green","Track","0.457","0.814","9.748","10.375","13.421","5.193","8.767","2.659","151.557"
"24","GTLM","John Edwards","10","51.945","12:47.921","Green","Track","0.454","0.812","9.821","10.546","13.571","5.247","8.827","2.667","152.558"
"67","GTLM","Richard Westbrook","10","51.989","12:48.379","Green","Track","0.455","0.811","9.729","10.529","13.514","5.343","8.930","2.678","152.223"
"25","GTLM","Connor De Phillippi","10","52.142","12:48.821","Green","Track","0.465","0.864","9.786","10.505","13.630","5.245","8.969","2.678","148.949"
"911","GTLM","Patrick Pilet","10","52.142","12:49.389","Green","Track","0.456","0.825","9.833","10.386","13.558","5.291","9.085","2.708","151.889"
"58","GTD","Patrick Long","10","52.590","12:51.156","Green","Track","0.469","0.835","9.892","10.686","13.631","5.304","9.032","2.741","147.679"
"15","GTD","Jack Hawksworth","10","52.979","12:52.466","Green","Track","0.474","0.847","9.866","10.607","13.813","5.420","9.198","2.754","146.121"
"14","GTD","Dominik Baumann","10","53.179","12:53.265","Green","Track","0.468","0.833","9.922","10.749","13.821","5.433","9.204","2.749","147.994"
"48","GTD","Bryan Sellers","10","53.276","12:54.156","Green","Track","0.474","0.844","9.954","10.673","13.797","5.429","9.323","2.782","146.121"
"63","GTD","Cooper MacNeil","10","53.220","12:54.624","Green","Track","0.469","0.836","9.922","10.618","13.785","5.524","9.297","2.769","147.679"
"86","GTD","Katherine Legge","10","53.330","12:55.461","Green","Track","0.472","0.843","10.101","10.781","13.777","5.394","9.184","2.778","146.740"
"33","GTD","Ben Keating","10","53.261","12:57.135","Green","Track","0.471","0.842","9.882","10.740","13.797","5.463","9.313","2.753","147.052"
"44","GTD","John Potter","10","55.046","13:00.981","Green","Track","0.483","0.859","10.340","10.854","14.391","5.745","9.537","2.837","143.398"
"3","GTLM","Antonio Garcia","11","51.595","13:36.920","Green","Track","0.456","0.818","9.793","10.263","13.426","5.241","8.906","2.692","151.889"
"912","GTLM","Laurens Vanthoor","11","51.663","13:37.540","Green","Track","0.461","0.823","9.795","10.416","13.216","5.308","8.943","2.701","150.242"
"4","GTLM","Tommy Milner","11","51.698","13:37.920","Green","Track","0.456","0.814","9.667","10.529","13.317","5.288","8.947","2.680","151.889"
"66","GTLM","Dirk Mueller","11","51.706","13:38.269","Green","Track","0.452","0.815","9.784","10.519","13.493","5.220","8.759","2.664","153.233"
"24","GTLM","John Edwards","11","51.568","13:39.489","Green","Track","0.457","0.847","9.727","10.425","13.403","5.210","8.822","2.677","151.557"
"67","GTLM","Richard Westbrook","11","51.516","13:39.895","Green","Track","0.455","0.811","9.695","10.364","13.442","5.228","8.846","2.675","152.223"
"25","GTLM","Connor De Phillippi","11","51.934","13:40.755","Green","Track","0.463","0.860","9.770","10.418","13.626","5.196","8.923","2.678","149.593"
"911","GTLM","Patrick Pilet","11","52.133","13:41.522","Green","Track","0.456","0.823","9.883","10.396","13.573","5.266","9.039","2.697","151.889"
"58","GTD","Patrick Long","11","53.005","13:44.161","Green","Track","0.467","0.833","9.823","10.699","13.818","5.369","9.222","2.774","148.311"
"15","GTD","Jack Hawksworth","11","53.167","13:45.633","Green","Track","0.468","0.835","9.843","10.596","14.068","5.380","9.195","2.782","147.994"
"14","GTD","Dominik Baumann","11","53.159","13:46.424","Green","Track","0.466","0.833","9.887","10.699","13.833","5.461","9.215","2.765","148.630"
"48","GTD","Bryan Sellers","11","53.088","13:47.244","Green","Track","0.472","0.841","9.921","10.516","13.738","5.463","9.344","2.793","146.740"
"63","GTD","Cooper MacNeil","11","52.994","13:47.618","Green","Track","0.469","0.837","9.860","10.586","13.799","5.441","9.239","2.763","147.679"
"86","GTD","Katherine Legge","11","53.134","13:48.595","Green","Track","0.471","0.840","9.997","10.733","13.642","5.359","9.289","2.803","147.052"
"33","GTD","Ben Keating","11","52.864","13:49.999","Green","Track","0.467","0.834","9.845","10.646","13.664","5.422","9.223","2.763","148.311"
"44","GTD","John Potter","11","54.601","13:55.582","Green","Track","0.480","0.858","10.446","10.653","14.137","5.671","9.532","2.824","144.295"
"3","GTLM","Antonio Garcia","12","51.535","14:28.455","Green","Track","0.458","0.816","9.693","10.303","13.405","5.263","8.895","2.702","151.226"
"912","GTLM","Laurens Vanthoor","12","51.568","14:29.108","Green","Track","0.459","0.821","9.702","10.360","13.318","5.288","8.925","2.695","150.896"
"4","GTLM","Tommy Milner","12","51.546","14:29.466","Green","Track","0.453","0.812","9.661","10.440","13.256","5.284","8.964","2.676","152.895"
"66","GTLM","Dirk Mueller","12","51.480","14:29.749","Green","Track","0.453","0.811","9.788","10.402","13.405","5.191","8.762","2.668","152.895"
"24","GTLM","John Edwards","12","51.705","14:31.194","Green","Track","0.458","0.851","9.746","10.428","13.473","5.257","8.825","2.667","151.226"
"67","GTLM","Richard Westbrook","12","51.694","14:31.589","Green","Track","0.454","0.809","9.727","10.436","13.412","5.283","8.893","2.680","152.558"
"25","GTLM","Connor De Phillippi","12","51.679","14:32.434","Green","Track","0.466","0.867","9.626","10.366","13.597","5.161","8.909","2.687","148.630"
"911","GTLM","Patrick Pilet","12","51.980","14:33.502","Green","Track","0.460","0.830","9.846","10.402","13.438","5.226","9.066","2.712","150.568"
"58","GTD","Patrick Long","12","53.169","14:37.330","Green","Track","0.471","0.840","9.883","10.675","13.864","5.430","9.233","2.773","147.052"
"15","GTD","Jack Hawksworth","12","53.080","14:38.713","Green","Track","0.473","0.840","9.845","10.637","13.906","5.416","9.194","2.769","146.430"
"14","GTD","Dominik Baumann","12","53.062","14:39.486","Green","Track","0.469","0.836","9.917","10.641","13.821","5.413","9.199","2.766","147.679"
"48","GTD","Bryan Sellers","12","53.606","14:40.850","Green","Track","0.472","0.843","9.963","10.673","13.924","5.604","9.341","2.786","146.740"
