"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"3","GTLM","Antonio Garcia","1","53.119","53.119","Green","Track","0.516","0.907","10.402","10.545","13.619","5.365","9.047","2.717","134.227"
"912","GTLM","Laurens Vanthoor","1","53.437","53.437","Green","Track","0.523","0.923","10.588","10.564","13.570","5.404","8.986","2.690","132.431"
"4","GTLM","Tommy Milner","1","53.813","53.813","Green","Track","0.515","0.906","10.602","10.649","13.653","5.314","9.031","2.706","134.488"
"66","GTLM","Dirk Mueller","1","54.507","54.507","Green","Track","0.514","0.907","10.841","10.651","14.066","5.345","8.965","2.691","134.750"
"24","GTLM","John Edwards","1","54.870","54.870","Green","Track","0.506","0.897","10.919","10.984","13.942","5.422","8.951","2.669","136.880"
"67","GTLM","Richard Westbrook","1","55.431","55.431","Green","Track","0.524","0.950","10.993","11.150","13.978","5.434","9.077","2.704","132.178"
"25","GTLM","Connor De Phillippi","1","55.742","55.742","Green","Track","0.497","0.915","11.050","11.108","14.322","5.348","8.997","2.703","139.359"
"911","GTLM","Patrick Pilet","1","56.567","56.567","Green","Track","0.511","0.905","11.170","11.327","14.372","5.457","9.276","2.729","135.541"
"58","GTD","Patrick Long","1","57.281","57.281","Green","Track","0.514","0.906","11.067","11.465","14.742","5.462","9.164","2.762","134.750"
"15","GTD","Jack Hawksworth","1","57.888","57.888","Green","Track","0.514","0.905","11.094","11.543","14.805","5.523","9.259","2.789","134.750"
"14","GTD","Dominik Baumann","1","58.388","58.388","Green","Track","0.514","0.908","11.267","11.892","14.886","5.557","9.400","2.811","134.750"
"48","GTD","Bryan Sellers","1","58.966","58.966","Green","Track","0.516","0.910","11.149","11.802","15.022","5.638","9.495","2.847","134.227"
"63","GTD","Cooper MacNeil","1","59.473","59.473","Green","Track","0.512","0.901","11.190","11.692","15.204","5.779","9.570","2.818","135.276"
"86","GTD","Katherine Legge","1","1:00.274","1:00.274","Green","Track","0.511","0.899","11.216","12.034","15.582","5.666","9.527","2.811","135.541"
"44","GTD","John Potter","1","1:01.423","1:01.423","Green","Track","0.518","0.913","11.278","12.000","16.188","5.651","9.679","2.847","133.709"
"33","GTD","Ben Keating","1","1:02.589","1:02.589","Green","Track","0.512","0.909","11.268","12.121","17.616","5.680","9.365","2.788","135.276"
"93","GTD","Lawson Aschenbach","1","1:36.766","1:36.766","Yellow","Pit","0.508","0.898","11.341","11.745","27.565","11.019","20.021","11.727","136.341"
"3","GTLM","Antonio Garcia","2","55.277","1:48.396","Yellow","Track","0.462","0.823","9.984","10.424","13.528","5.340","10.300","4.416","149.916"
"912","GTLM","Laurens Vanthoor","2","55.476","1:48.913","Yellow","Track","0.458","0.816","9.974","10.414","13.568","5.399","10.306","4.541","151.226"
"4","GTLM","Tommy Milner","2","55.565","1:49.378","Yellow","Track","0.458","0.819","9.908","10.448","13.553","5.300","10.601","4.478","151.226"
"66","GTLM","Dirk Mueller","2","55.718","1:50.225","Yellow","Track","0.457","0.816","9.859","10.461","13.766","5.289","10.849","4.221","151.557"
"24","GTLM","John Edwards","2","55.726","1:50.596","Yellow","Track","0.452","0.809","9.878","10.530","13.702","5.352","10.714","4.289","153.233"
"67","GTLM","Richard Westbrook","2","56.516","1:51.947","Yellow","Track","0.458","0.815","9.792","10.460","13.654","5.414","11.568","4.355","151.226"
"25","GTLM","Connor De Phillippi","2","57.202","1:52.944","Yellow","Track","0.457","0.814","9.947","10.492","13.937","5.323","11.788","4.444","151.557"
"911","GTLM","Patrick Pilet","2","58.784","1:55.351","Yellow","Track","0.463","0.820","9.934","10.433","13.931","5.382","13.699","4.122","149.593"
"58","GTD","Patrick Long","2","58.994","1:56.275","Yellow","Track","0.468","0.838","9.963","10.606","13.654","5.511","13.615","4.339","147.994"
"15","GTD","Jack Hawksworth","2","59.272","1:57.160","Yellow","Track","0.473","0.846","9.899","10.608","13.797","5.528","13.979","4.142","146.430"
"14","GTD","Dominik Baumann","2","59.774","1:58.162","Yellow","Track","0.473","0.846","9.984","10.767","13.851","5.614","13.827","4.412","146.430"
"48","GTD","Bryan Sellers","2","1:00.953","1:59.919","Yellow","Track","0.482","0.858","10.069","10.701","13.805","5.557","14.481","5.000","143.696"
"63","GTD","Cooper MacNeil","2","1:01.005","2:00.478","Yellow","Track","0.481","0.856","10.071","10.674","13.878","5.700","14.458","4.887","143.995"
"86","GTD","Katherine Legge","2","1:01.741","2:02.015","Yellow","Track","0.475","0.846","10.096","10.754","14.061","5.917","14.373","5.219","145.813"
"44","GTD","John Potter","2","1:01.424","2:02.847","Yellow","Track","0.479","0.852","10.041","10.769","14.016","5.746","14.338","5.183","144.596"
"33","GTD","Ben Keating","2","1:01.437","2:04.026","Yellow","Track","0.472","0.841","10.010","10.790","13.845","5.877","14.010","5.592","146.740"
"3","GTLM","Antonio Garcia","3","1:35.577","3:23.973","Yellow","Track","0.868","1.607","13.954","16.332","28.374","9.417","18.255","6.770","79.794"
"912","GTLM","Laurens Vanthoor","3","1:35.929","3:24.842","Yellow","Track","0.884","1.673","14.710","16.031","28.368","9.036","18.479","6.748","78.350"
"4","GTLM","Tommy Milner","3","1:37.045","3:26.423","Yellow","Track","0.875","1.656","14.842","16.100","29.845","8.236","18.485","7.006","79.156"
"66","GTLM","Dirk Mueller","3","1:37.259","3:27.484","Yellow","Track","0.816","1.611","15.346","16.035","29.199","8.785","18.518","6.949","84.879"
"24","GTLM","John Edwards","3","1:37.720","3:28.316","Yellow","Track","0.831","1.656","15.622","15.969","30.334","7.922","18.217","7.169","83.347"
"67","GTLM","Richard Westbrook","3","1:40.113","3:32.060","Yellow","Track","0.794","1.548","15.517","16.093","31.075","7.486","18.299","9.301","87.231"
"25","GTLM","Connor De Phillippi","3","1:39.588","3:32.532","Yellow","Track","0.840","1.564","15.088","15.875","31.892","7.471","18.471","8.387","82.454"
"911","GTLM","Patrick Pilet","3","1:37.801","3:33.152","Yellow","Track","0.741","1.372","14.126","15.930","31.854","7.417","18.631","7.730","93.470"
"58","GTD","Patrick Long","3","1:38.988","3:35.263","Yellow","Track","0.745","1.429","14.146","16.852","31.849","6.687","19.781","7.499","92.968"
"15","GTD","Jack Hawksworth","3","1:38.795","3:35.955","Yellow","Track","0.705","1.327","14.115","16.948","33.000","6.223","19.488","6.989","98.243"
"14","GTD","Dominik Baumann","3","1:38.868","3:37.030","Yellow","Track","0.722","1.293","14.252","16.691","34.280","5.622","19.175","6.833","95.930"
"48","GTD","Bryan Sellers","3","1:37.908","3:37.827","Yellow","Track","0.818","1.438","12.977","16.769","34.177","5.742","19.053","6.934","84.672"
"63","GTD","Cooper MacNeil","3","1:39.020","3:39.498","Yellow","Track","0.755","1.369","13.045","17.619","34.051","6.137","18.655","7.389","91.737"
