"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"48","GTD","Corey Lewis","20","53.159","18:34.110","Green","Track","0.476","0.850","9.835","10.481","13.882","5.442","9.386","2.807","145.507"
"86","GTD","Trent Hindman","21","52.992","18:34.693","Green","Track","0.476","0.853","9.766","10.497","13.976","5.400","9.235","2.789","145.507"
"33","GTD","Ben Keating","21","53.087","18:38.268","Green","Track","0.468","0.836","9.908","10.583","13.735","5.508","9.283","2.766","147.994"
"96","GTD","Robby Foley","21","53.410","18:41.709","Green","Track","0.474","0.846","9.966","10.623","13.880","5.443","9.376","2.802","146.121"
"9","GTD","Zacharie Robichon","21","53.326","18:42.113","Green","Track","0.476","0.850","9.922","10.548","13.913","5.421","9.402","2.794","145.507"
"14","GTD","Richard Heistand","21","53.610","18:45.855","Green","Track","0.472","0.844","9.911","10.621","14.038","5.552","9.372","2.800","146.740"
"73","GTD","Marco Seefried","21","53.544","18:46.200","Green","Track","0.471","0.844","10.013","10.657","13.960","5.493","9.333","2.773","147.052"
"63","GTD","Cooper MacNeil","21","53.720","18:46.917","Green","Track","0.473","0.844","9.961","10.625","14.103","5.523","9.392","2.799","146.430"
"91","GTD","Anthony Imperato","21","53.588","18:47.711","Green","Track","0.478","0.856","9.939","10.576","14.070","5.431","9.430","2.808","144.898"
"76","GTD","Matt Plumb","21","53.804","18:50.781","Green","Track","0.476","0.850","10.113","10.616","14.104","5.485","9.344","2.816","145.507"
"57","GTD","Christina Nielsen","21","53.849","18:53.349","Green","Track","0.479","0.855","9.917","10.852","14.031","5.567","9.330","2.818","144.596"
"912","GTLM","Laurens Vanthoor","22","52.434","18:54.344","Green","Track","0.461","0.822","10.007","10.616","13.463","5.321","9.033","2.711","150.242"
"911","GTLM","Nick Tandy","22","52.296","18:55.064","Green","Track","0.459","0.815","9.757","10.540","13.645","5.319","9.044","2.717","150.896"
"11","GTD","John Potter","21","54.893","18:56.462","Green","Track","0.483","0.860","10.116","11.139","14.491","5.491","9.466","2.847","143.398"
"25","GTLM","Connor De Phillippi","22","52.989","18:57.030","Green","Track","0.456","0.811","9.890","10.222","14.196","5.428","9.273","2.713","151.889"
"66","GTLM","Dirk Mueller","22","52.843","18:57.522","Green","Track","0.462","0.824","9.721","10.501","13.768","5.559","9.242","2.766","149.916"
"12","GTD","Frank Montecalvo","21","54.947","18:57.615","Green","Track","0.472","0.841","10.212","10.927","14.383","5.710","9.564","2.838","146.740"
"3","GTLM","Antonio Garcia","22","52.334","18:57.828","Green","Track","0.456","0.827","9.809","10.200","13.529","5.582","9.241","2.690","151.889"
"4","GTLM","Oliver Gavin","22","52.261","18:58.298","Green","Track","0.458","0.823","9.874","10.238","13.526","5.455","9.178","2.709","151.226"
"67","GTLM","Ryan Briscoe","22","52.040","18:58.765","Green","Track","0.463","0.825","9.573","10.303","13.641","5.351","9.154","2.730","149.593"
"24","GTLM","John Edwards","22","52.581","19:03.849","Green","Track","0.463","0.832","9.985","10.307","13.653","5.361","9.241","2.739","149.593"
"48","GTD","Corey Lewis","21","53.076","19:27.186","Green","Track","0.476","0.850","9.876","10.502","13.830","5.429","9.315","2.798","145.507"
"86","GTD","Trent Hindman","22","53.273","19:27.966","Green","Track","0.474","0.850","9.824","10.660","13.973","5.433","9.269","2.790","146.121"
"33","GTD","Ben Keating","22","53.366","19:31.634","Green","Track","0.469","0.837","9.958","10.695","13.832","5.470","9.323","2.782","147.679"
"96","GTD","Robby Foley","22","53.577","19:35.286","Green","Track","0.475","0.849","9.998","10.699","13.936","5.478","9.354","2.788","145.813"
"9","GTD","Zacharie Robichon","22","53.568","19:35.681","Green","Track","0.476","0.851","10.071","10.611","13.880","5.459","9.430","2.790","145.507"
"14","GTD","Richard Heistand","22","53.774","19:39.629","Green","Track","0.474","0.849","10.060","10.668","13.953","5.502","9.440","2.828","146.121"
"73","GTD","Marco Seefried","22","53.889","19:40.089","Green","Track","0.473","0.843","10.066","10.756","14.084","5.512","9.356","2.799","146.430"
"63","GTD","Cooper MacNeil","22","53.699","19:40.616","Green","Track","0.474","0.848","9.981","10.633","13.990","5.557","9.409","2.807","146.121"
"91","GTD","Anthony Imperato","22","53.647","19:41.358","Green","Track","0.477","0.852","9.941","10.659","14.111","5.379","9.418","2.810","145.202"
"76","GTD","Matt Plumb","22","53.769","19:44.550","Green","Track","0.477","0.853","9.978","10.602","14.159","5.464","9.413","2.823","145.202"
"912","GTLM","Laurens Vanthoor","23","52.744","19:47.088","Green","Track","0.460","0.825","9.694","10.457","14.168","5.407","9.023","2.710","150.568"
"911","GTLM","Nick Tandy","23","52.726","19:47.790","Green","Track","0.462","0.834","9.730","10.272","13.850","5.474","9.350","2.754","149.916"
"57","GTD","Christina Nielsen","22","55.084","19:48.433","Green","Track","0.478","0.855","9.998","10.893","14.578","5.803","9.603","2.876","144.898"
"25","GTLM","Connor De Phillippi","23","52.981","19:50.011","Green","Track","0.458","0.817","9.950","10.484","14.046","5.383","9.137","2.706","151.226"
"66","GTLM","Dirk Mueller","23","52.853","19:50.375","Green","Track","0.471","0.839","9.847","10.468","13.869","5.475","9.139","2.745","147.052"
"3","GTLM","Antonio Garcia","23","53.062","19:50.890","Green","Track","0.455","0.814","10.165","10.343","13.685","5.664","9.228","2.708","152.223"
"11","GTD","John Potter","22","55.198","19:51.660","Green","Track","0.483","0.862","9.996","10.664","14.600","6.158","9.592","2.843","143.398"
"4","GTLM","Oliver Gavin","23","54.032","19:52.330","Green","Track","0.456","0.812","10.222","11.088","13.822","5.603","9.307","2.722","151.889"
"12","GTD","Frank Montecalvo","22","55.406","19:53.021","Green","Track","0.478","0.859","10.574","10.956","14.184","5.826","9.695","2.834","144.898"
"67","GTLM","Ryan Briscoe","23","54.290","19:53.055","Green","Track","0.463","0.825","9.909","11.076","14.060","5.572","9.599","2.786","149.593"
"24","GTLM","John Edwards","23","52.838","19:56.687","Green","Track","0.463","0.834","10.050","10.371","13.651","5.421","9.309","2.739","149.593"
"48","GTD","Corey Lewis","22","53.317","20:20.503","Green","Track","0.475","0.847","9.897","10.559","13.852","5.488","9.385","2.814","145.813"
"86","GTD","Trent Hindman","23","53.151","20:21.117","Green","Track","0.475","0.850","9.814","10.591","13.938","5.439","9.253","2.791","145.813"
"33","GTD","Ben Keating","23","53.262","20:24.896","Green","Track","0.471","0.842","9.935","10.607","13.877","5.491","9.274","2.765","147.052"
"96","GTD","Robby Foley","23","53.512","20:28.798","Green","Track","0.473","0.846","10.018","10.703","13.874","5.469","9.345","2.784","146.430"
"9","GTD","Zacharie Robichon","23","53.647","20:29.328","Green","Track","0.475","0.850","9.957","10.758","14.008","5.408","9.383","2.808","145.813"
"14","GTD","Richard Heistand","23","54.003","20:33.632","Green","Track","0.477","0.852","10.121","10.821","14.060","5.574","9.308","2.790","145.202"
"73","GTD","Marco Seefried","23","54.060","20:34.149","Green","Track","0.475","0.849","10.109","10.781","14.141","5.490","9.403","2.812","145.813"
"63","GTD","Cooper MacNeil","23","53.922","20:34.538","Green","Track","0.475","0.848","10.015","10.680","14.095","5.555","9.446","2.808","145.813"
"91","GTD","Anthony Imperato","23","53.804","20:35.162","Green","Track","0.476","0.851","9.950","10.593","14.079","5.480","9.551","2.824","145.507"
"76","GTD","Matt Plumb","23","53.716","20:38.266","Green","Track","0.478","0.854","10.083","10.589","14.098","5.492","9.308","2.814","144.898"
"912","GTLM","Laurens Vanthoor","24","51.759","20:38.847","Green","Track","0.460","0.833","9.718","10.324","13.373","5.266","9.066","2.719","150.568"
"911","GTLM","Nick Tandy","24","51.752","20:39.542","Green","Track","0.466","0.847","9.787","10.232","13.423","5.260","9.022","2.715","148.630"
"25","GTLM","Connor De Phillippi","24","52.518","20:42.529","Green","Track","0.457","0.815","9.944","10.434","13.405","5.567","9.195","2.701","151.557"
"66","GTLM","Dirk Mueller","24","52.781","20:43.156","Green","Track","0.466","0.839","9.817","10.407","13.698","5.481","9.302","2.771","148.630"
"3","GTLM","Antonio Garcia","24","52.823","20:43.713","Green","Track","0.458","0.822","9.912","10.298","13.623","5.456","9.508","2.746","151.226"
"57","GTD","Christina Nielsen","23","55.330","20:43.763","Green","Track","0.484","0.864","10.032","11.084","14.000","6.032","9.966","2.868","143.102"
"4","GTLM","Oliver Gavin","24","52.930","20:45.260","Green","Track","0.459","0.818","10.012","10.397","14.035","5.349","9.153","2.707","150.896"
"67","GTLM","Ryan Briscoe","24","53.022","20:46.077","Green","Track","0.472","0.842","9.794","10.406","14.011","5.537","9.219","2.741","146.740"
"11","GTD","John Potter","23","55.185","20:46.845","Green","Track","0.481","0.858","10.014","10.709","14.785","5.879","9.606","2.853","143.995"
"12","GTD","Frank Montecalvo","23","54.621","20:47.642","Green","Track","0.478","0.854","10.342","10.978","14.159","5.545","9.455","2.810","144.898"
"24","GTLM","John Edwards","24","52.893","20:49.580","Green","Track","0.462","0.836","10.117","10.458","13.611","5.408","9.255","2.746","149.916"
"48","GTD","Corey Lewis","23","53.327","21:13.830","Green","Track","0.477","0.851","9.918","10.531","13.951","5.469","9.328","2.802","145.202"
"86","GTD","Trent Hindman","24","53.311","21:14.428","Green","Track","0.475","0.849","9.851","10.632","13.978","5.468","9.267","2.791","145.813"
"33","GTD","Ben Keating","24","53.711","21:18.607","Green","Track","0.469","0.835","10.050","10.662","13.843","5.473","9.566","2.813","147.679"
"96","GTD","Robby Foley","24","53.590","21:22.388","Green","Track","0.472","0.842","10.010","10.690","13.935","5.440","9.408","2.793","146.740"
"9","GTD","Zacharie Robichon","24","53.446","21:22.774","Green","Track","0.477","0.851","9.968","10.541","13.906","5.472","9.429","2.802","145.202"
"14","GTD","Richard Heistand","24","53.554","21:27.186","Green","Track","0.472","0.844","9.911","10.670","14.057","5.505","9.297","2.798","146.740"
"73","GTD","Marco Seefried","24","53.530","21:27.679","Green","Track","0.476","0.850","9.975","10.633","13.960","5.503","9.338","2.795","145.507"
"63","GTD","Cooper MacNeil","24","53.644","21:28.182","Green","Track","0.475","0.848","10.003","10.683","13.987","5.509","9.340","2.799","145.813"
"91","GTD","Anthony Imperato","24","54.229","21:29.391","Green","Track","0.478","0.854","10.030","10.658","14.461","5.485","9.452","2.811","144.898"
"912","GTLM","Laurens Vanthoor","25","52.540","21:31.387","Green","Track","0.461","0.825","9.747","10.595","13.815","5.353","9.031","2.713","150.242"
"911","GTLM","Nick Tandy","25","52.697","21:32.239","Green","Track","0.461","0.836","9.835","10.245","14.045","5.438","9.127","2.710","150.242"
"76","GTD","Matt Plumb","24","54.749","21:33.015","Green","Track","0.477","0.850","10.078","10.737","14.513","5.744","9.513","2.837","145.202"
"25","GTLM","Connor De Phillippi","25","51.974","21:34.503","Green","Track","0.457","0.814","9.881","10.213","13.340","5.393","9.165","2.711","151.557"
"66","GTLM","Dirk Mueller","25","51.966","21:35.122","Green","Track","0.469","0.843","9.710","10.312","13.644","5.342","8.936","2.710","147.679"
"3","GTLM","Antonio Garcia","25","52.163","21:35.876","Green","Track","0.465","0.833","9.951","10.328","13.506","5.291","9.080","2.709","148.949"
"4","GTLM","Oliver Gavin","25","52.351","21:37.611","Green","Track","0.457","0.814","9.863","10.375","13.699","5.343","9.095","2.705","151.557"
"67","GTLM","Ryan Briscoe","25","52.310","21:38.387","Green","Track","0.465","0.831","9.639","10.335","13.653","5.453","9.189","2.745","148.949"
"57","GTD","Christina Nielsen","24","55.448","21:39.211","Green","Track","0.483","0.860","10.382","11.073","14.453","5.859","9.490","2.848","143.398"
"11","GTD","John Potter","24","54.033","21:40.878","Green","Track","0.483","0.860","10.049","10.712","14.035","5.553","9.498","2.843","143.398"
"12","GTD","Frank Montecalvo","24","54.428","21:42.070","Green","Track","0.475","0.845","10.012","10.881","14.429","5.513","9.453","2.820","145.813"
"24","GTLM","John Edwards","25","53.145","21:42.725","Green","Track","0.463","0.835","10.175","10.457","13.702","5.440","9.329","2.744","149.593"
"48","GTD","Corey Lewis","24","53.356","22:07.186","Green","Track","0.476","0.848","9.896","10.579","13.938","5.465","9.347","2.807","145.507"
"86","GTD","Trent Hindman","25","53.365","22:07.793","Green","Track","0.475","0.849","9.852","10.659","14.027","5.464","9.248","2.791","145.813"
"33","GTD","Ben Keating","25","53.436","22:12.043","Green","Track","0.475","0.847","9.987","10.671","13.926","5.474","9.286","2.770","145.813"
"96","GTD","Robby Foley","25","53.589","22:15.977","Green","Track","0.474","0.850","10.020","10.670","13.964","5.461","9.357","2.793","146.121"
"9","GTD","Zacharie Robichon","25","53.647","22:16.421","Green","Track","0.476","0.852","10.040","10.637","13.991","5.450","9.402","2.799","145.507"
"14","GTD","Richard Heistand","25","53.762","22:20.948","Green","Track","0.474","0.847","10.055","10.751","14.046","5.488","9.303","2.798","146.121"
"73","GTD","Marco Seefried","25","53.628","22:21.307","Green","Track","0.474","0.849","9.947","10.708","14.043","5.505","9.314","2.788","146.121"
"63","GTD","Cooper MacNeil","25","53.830","22:22.012","Green","Track","0.474","0.847","10.020","10.614","14.085","5.565","9.414","2.811","146.121"
"91","GTD","Anthony Imperato","25","53.727","22:23.118","Green","Track","0.478","0.853","9.940","10.621","14.154","5.417","9.456","2.808","144.898"
"912","GTLM","Laurens Vanthoor","26","51.754","22:23.141","Green","Track","0.460","0.837","9.711","10.270","13.320","5.356","9.085","2.715","150.568"
"911","GTLM","Nick Tandy","26","51.309","22:23.548","Green","Track","0.460","0.822","9.648","10.144","13.345","5.237","8.962","2.691","150.568"
"25","GTLM","Connor De Phillippi","26","52.401","22:26.904","Green","Track","0.458","0.817","10.022","10.283","13.537","5.426","9.188","2.670","151.226"
"76","GTD","Matt Plumb","25","53.899","22:26.914","Green","Track","0.480","0.855","10.057","10.591","14.110","5.488","9.481","2.837","144.295"
"66","GTLM","Dirk Mueller","26","52.181","22:27.303","Green","Track","0.461","0.825","9.724","10.342","13.661","5.338","9.101","2.729","150.242"
"3","GTLM","Antonio Garcia","26","51.959","22:27.835","Green","Track","0.458","0.818","9.831","10.283","13.503","5.281","9.085","2.700","151.226"
"4","GTLM","Oliver Gavin","26","51.820","22:29.431","Green","Track","0.457","0.817","9.883","10.254","13.467","5.238","9.010","2.694","151.557"
"67","GTLM","Ryan Briscoe","26","51.891","22:30.278","Green","Track","0.466","0.832","9.721","10.278","13.581","5.270","9.022","2.721","148.630"
"57","GTD","Christina Nielsen","25","54.199","22:33.410","Green","Track","0.481","0.857","10.038","10.873","14.144","5.534","9.450","2.822","143.995"
"11","GTD","John Potter","25","54.046","22:34.924","Green","Track","0.482","0.860","10.047","10.622","14.092","5.604","9.497","2.842","143.696"
"12","GTD","Frank Montecalvo","25","53.933","22:36.003","Green","Track","0.476","0.849","10.002","10.762","14.101","5.519","9.421","2.803","145.507"
"24","GTLM","John Edwards","26","53.717","22:36.442","Green","Track","0.462","0.832","10.209","10.448","13.855","5.614","9.517","2.780","149.916"
"48","GTD","Corey Lewis","25","53.152","23:00.338","Green","Track","0.476","0.849","9.855","10.574","13.920","5.396","9.281","2.801","145.507"
"86","GTD","Trent Hindman","26","53.229","23:01.022","Green","Track","0.476","0.850","9.859","10.633","13.951","5.424","9.247","2.789","145.507"
"33","GTD","Ben Keating","26","53.328","23:05.371","Green","Track","0.469","0.837","10.016","10.681","13.810","5.411","9.320","2.784","147.679"
"96","GTD","Robby Foley","26","53.525","23:09.502","Green","Track","0.473","0.848","10.055","10.664","13.888","5.472","9.340","2.785","146.430"
"9","GTD","Zacharie Robichon","26","53.612","23:10.033","Green","Track","0.476","0.849","10.010","10.649","13.968","5.416","9.432","2.812","145.507"
"14","GTD","Richard Heistand","26","53.797","23:14.745","Green","Track","0.474","0.846","10.065","10.800","14.071","5.490","9.266","2.785","146.121"
"73","GTD","Marco Seefried","26","54.004","23:15.311","Green","Track","0.474","0.844","9.989","10.881","14.180","5.480","9.369","2.787","146.121"
"912","GTLM","Laurens Vanthoor","27","52.588","23:15.729","Green","Track","0.460","0.822","9.900","10.307","13.528","5.680","9.171","2.720","150.568"
"911","GTLM","Nick Tandy","27","52.817","23:16.365","Green","Track","0.456","0.812","9.940","10.347","13.426","5.587","9.496","2.753","151.889"
"63","GTD","Cooper MacNeil","26","54.785","23:16.797","Green","Track","0.475","0.848","10.007","10.670","13.991","6.010","9.967","2.817","145.813"
"91","GTD","Anthony Imperato","26","54.749","23:17.867","Green","Track","0.480","0.857","10.615","10.759","14.124","5.475","9.602","2.837","144.295"
"25","GTLM","Connor De Phillippi","27","52.640","23:19.544","Green","Track","0.459","0.816","10.016","10.287","13.725","5.535","9.094","2.708","150.896"
"66","GTLM","Dirk Mueller","27","53.016","23:20.319","Green","Track","0.462","0.823","10.238","10.680","13.755","5.350","8.985","2.723","149.916"
"3","GTLM","Antonio Garcia","27","52.955","23:20.790","Green","Track","0.455","0.810","10.035","10.630","13.893","5.361","9.064","2.707","152.223"
"4","GTLM","Oliver Gavin","27","52.845","23:22.276","Green","Track","0.455","0.811","9.833","10.281","14.013","5.543","9.202","2.707","152.223"
"76","GTD","Matt Plumb","26","56.186","23:23.100","Green","Track","0.481","0.856","10.444","10.751","15.465","5.780","9.591","2.818","143.995"
"67","GTLM","Ryan Briscoe","27","52.835","23:23.113","Green","Track","0.462","0.825","9.581","10.317","13.589","5.785","9.512","2.764","149.916"
"57","GTD","Christina Nielsen","26","54.057","23:27.467","Green","Track","0.478","0.854","9.947","10.871","14.083","5.523","9.442","2.859","144.898"
"11","GTD","John Potter","26","54.138","23:29.062","Green","Track","0.481","0.859","10.050","10.607","14.215","5.612","9.482","2.832","143.995"
"24","GTLM","John Edwards","27","55.167","23:31.609","Green","Track","0.467","0.829","10.240","10.610","15.153","5.670","9.425","2.773","148.311"
"12","GTD","Frank Montecalvo","26","56.369","23:32.372","Green","Track","0.474","0.845","10.024","10.945","15.739","5.849","9.654","2.839","146.121"
"48","GTD","Corey Lewis","26","53.354","23:53.692","Green","Track","0.474","0.847","9.889","10.571","13.897","5.490","9.382","2.804","146.121"
"86","GTD","Trent Hindman","27","53.444","23:54.466","Green","Track","0.473","0.847","9.923","10.623","14.031","5.455","9.294","2.798","146.430"
"33","GTD","Ben Keating","27","53.493","23:58.864","Green","Track","0.472","0.837","9.976","10.773","13.841","5.530","9.303","2.761","146.740"
"96","GTD","Robby Foley","27","53.507","24:03.009","Green","Track","0.472","0.845","9.961","10.702","13.906","5.492","9.339","2.790","146.740"
"9","GTD","Zacharie Robichon","27","53.593","24:03.626","Green","Track","0.476","0.850","9.905","10.661","13.997","5.459","9.434","2.811","145.507"
"912","GTLM","Laurens Vanthoor","28","52.527","24:08.256","Green","Track","0.461","0.820","9.832","10.554","13.515","5.582","9.064","2.699","150.242"
"14","GTD","Richard Heistand","27","54.430","24:09.175","Green","Track","0.472","0.842","9.988","10.672","14.042","6.019","9.586","2.809","146.740"
"911","GTLM","Nick Tandy","28","52.894","24:09.259","Green","Track","0.464","0.826","9.800","10.420","13.714","5.576","9.374","2.720","149.270"
"73","GTD","Marco Seefried","27","54.515","24:09.826","Green","Track","0.472","0.843","9.989","11.053","14.355","5.549","9.467","2.787","146.740"
"63","GTD","Cooper MacNeil","27","53.804","24:10.601","Green","Track","0.475","0.848","10.033","10.628","14.054","5.543","9.422","2.801","145.813"
"25","GTLM","Connor De Phillippi","28","52.471","24:12.015","Green","Track","0.457","0.814","9.947","10.331","13.577","5.435","9.232","2.678","151.557"
"91","GTD","Anthony Imperato","27","54.200","24:12.067","Green","Track","0.478","0.854","9.989","10.592","14.407","5.502","9.557","2.821","144.898"
"66","GTLM","Dirk Mueller","28","51.992","24:12.311","Green","Track","0.462","0.825","9.704","10.341","13.608","5.293","9.029","2.730","149.916"
"3","GTLM","Antonio Garcia","28","52.137","24:12.927","Green","Track","0.457","0.816","9.889","10.307","13.533","5.334","9.104","2.697","151.557"
"4","GTLM","Oliver Gavin","28","51.997","24:14.273","Green","Track","0.456","0.814","9.838","10.342","13.479","5.321","9.058","2.689","151.889"
"67","GTLM","Ryan Briscoe","28","52.162","24:15.275","Green","Track","0.468","0.832","9.774","10.320","13.656","5.295","9.086","2.731","147.994"
"76","GTD","Matt Plumb","27","54.311","24:17.411","Green","Track","0.479","0.848","10.390","10.690","14.202","5.513","9.379","2.810","144.596"
"57","GTD","Christina Nielsen","27","53.893","24:21.360","Green","Track","0.482","0.857","9.973","10.789","14.023","5.520","9.417","2.832","143.696"
"11","GTD","John Potter","27","54.089","24:23.151","Green","Track","0.479","0.853","9.968","10.783","14.188","5.525","9.456","2.837","144.596"
"24","GTLM","John Edwards","28","53.568","24:25.177","Green","Track","0.467","0.830","10.359","10.502","13.746","5.457","9.436","2.771","148.311"
"12","GTD","Frank Montecalvo","27","54.268","24:26.640","Green","Track","0.479","0.851","10.090","10.976","14.251","5.474","9.356","2.791","144.596"
"48","GTD","Corey Lewis","27","53.318","24:47.010","Green","Track","0.475","0.846","9.938","10.504","13.999","5.446","9.302","2.808","145.813"
"86","GTD","Trent Hindman","28","53.307","24:47.773","Green","Track","0.475","0.848","9.810","10.551","14.078","5.444","9.293","2.808","145.813"
"33","GTD","Ben Keating","28","53.562","24:52.426","Green","Track","0.467","0.832","9.897","10.939","13.930","5.494","9.238","2.765","148.311"
"96","GTD","Robby Foley","28","53.717","24:56.726","Green","Track","0.472","0.844","10.093","10.648","13.960","5.491","9.405","2.804","146.740"
"9","GTD","Zacharie Robichon","28","53.559","24:57.185","Green","Track","0.475","0.849","9.999","10.642","13.944","5.454","9.397","2.799","145.813"
"912","GTLM","Laurens Vanthoor","29","51.885","25:00.141","Green","Track","0.458","0.829","9.784","10.304","13.362","5.311","9.102","2.735","151.226"
"911","GTLM","Nick Tandy","29","51.721","25:00.980","Green","Track","0.460","0.819","9.878","10.261","13.368","5.274","8.950","2.711","150.568"
"14","GTD","Richard Heistand","28","54.167","25:03.342","Green","Track","0.472","0.846","10.405","10.770","14.061","5.503","9.308","2.802","146.740"
"73","GTD","Marco Seefried","28","53.919","25:03.745","Green","Track","0.473","0.844","10.189","10.740","13.962","5.572","9.352","2.787","146.430"
"25","GTLM","Connor De Phillippi","29","52.408","25:04.423","Green","Track","0.451","0.802","10.088","10.321","13.530","5.431","9.138","2.647","153.573"
"63","GTD","Cooper MacNeil","28","53.832","25:04.433","Green","Track","0.474","0.846","10.042","10.670","14.023","5.559","9.422","2.796","146.121"
"66","GTLM","Dirk Mueller","29","52.624","25:04.935","Green","Track","0.462","0.826","10.240","10.460","13.629","5.314","8.977","2.716","149.916"
"3","GTLM","Antonio Garcia","29","52.725","25:05.652","Green","Track","0.456","0.812","10.044","10.584","13.641","5.391","9.092","2.705","151.889"
"4","GTLM","Oliver Gavin","29","53.150","25:07.423","Green","Track","0.454","0.810","9.959","10.362","13.817","5.630","9.372","2.746","152.558"
"67","GTLM","Ryan Briscoe","29","52.727","25:08.002","Green","Track","0.463","0.826","9.691","10.340","13.643","5.518","9.449","2.797","149.593"
"91","GTD","Anthony Imperato","28","56.496","25:08.563","Green","Track","0.478","0.853","10.675","11.328","14.203","6.022","10.068","2.869","144.898"
"76","GTD","Matt Plumb","28","53.942","25:11.353","Green","Track","0.476","0.847","10.051","10.701","14.140","5.514","9.383","2.830","145.507"
"57","GTD","Christina Nielsen","28","54.049","25:15.409","Green","Track","0.479","0.853","9.934","10.785","14.174","5.573","9.410","2.841","144.596"
"11","GTD","John Potter","28","54.198","25:17.349","Green","Track","0.480","0.857","10.012","10.621","14.242","5.532","9.591","2.863","144.295"
"24","GTLM","John Edwards","29","53.444","25:18.621","Green","Track","0.467","0.830","10.318","10.506","13.715","5.440","9.405","2.763","148.311"
"12","GTD","Frank Montecalvo","28","54.003","25:20.643","Green","Track","0.472","0.843","10.012","10.895","14.067","5.494","9.408","2.812","146.740"
"48","GTD","Corey Lewis","28","53.317","25:40.327","Green","Track","0.475","0.847","9.869","10.564","13.886","5.454","9.396","2.826","145.813"
"86","GTD","Trent Hindman","29","53.456","25:41.229","Green","Track","0.475","0.850","9.866","10.707","14.072","5.410","9.277","2.799","145.813"
"33","GTD","Ben Keating","29","53.198","25:45.624","Green","Track","0.467","0.832","10.051","10.665","13.734","5.407","9.261","2.781","148.311"
"96","GTD","Robby Foley","29","53.564","25:50.290","Green","Track","0.474","0.847","10.020","10.637","13.990","5.490","9.328","2.778","146.121"
"9","GTD","Zacharie Robichon","29","53.773","25:50.958","Green","Track","0.475","0.848","10.052","10.657","14.102","5.427","9.404","2.808","145.813"
"912","GTLM","Laurens Vanthoor","30","51.846","25:51.987","Green","Track","0.463","0.825","9.786","10.372","13.451","5.284","8.961","2.704","149.593"
"911","GTLM","Nick Tandy","30","51.587","25:52.567","Green","Track","0.460","0.823","9.670","10.330","13.351","5.266","8.980","2.707","150.568"
"14","GTD","Richard Heistand","29","53.703","25:57.045","Green","Track","0.473","0.844","9.968","10.760","14.094","5.482","9.284","2.798","146.430"
"25","GTLM","Connor De Phillippi","30","52.976","25:57.399","Green","Track","0.447","0.797","10.031","10.441","13.911","5.448","9.215","2.686","154.947"
"73","GTD","Marco Seefried","29","54.253","25:57.998","Green","Track","0.473","0.845","9.994","10.757","14.323","5.651","9.394","2.816","146.430"
"66","GTLM","Dirk Mueller","30","53.481","25:58.416","Green","Track","0.461","0.828","10.026","10.725","14.257","5.449","9.012","2.723","150.242"
"3","GTLM","Antonio Garcia","30","53.462","25:59.114","Green","Track","0.456","0.812","9.952","10.458","14.070","5.734","9.257","2.723","151.889"
"4","GTLM","Oliver Gavin","30","52.259","25:59.682","Green","Track","0.462","0.822","9.890","10.294","13.553","5.448","9.087","2.703","149.916"
"63","GTD","Cooper MacNeil","29","55.239","25:59.672","Green","Track","0.473","0.844","10.325","10.706","14.463","6.042","9.581","2.805","146.430"
"67","GTLM","Ryan Briscoe","30","52.425","26:00.427","Green","Track","0.471","0.841","9.762","10.424","13.664","5.387","9.140","2.736","147.052"
"91","GTD","Anthony Imperato","29","54.561","26:03.124","Green","Track","0.481","0.859","10.122","10.646","14.362","5.515","9.723","2.853","143.995"
"76","GTD","Matt Plumb","29","54.115","26:05.468","Green","Track","0.478","0.852","10.104","10.801","14.247","5.514","9.313","2.806","144.898"
"57","GTD","Christina Nielsen","29","54.028","26:09.437","Green","Track","0.480","0.856","10.038","10.911","14.022","5.523","9.367","2.831","144.295"
"11","GTD","John Potter","29","53.870","26:11.219","Green","Track","0.484","0.861","10.029","10.633","14.133","5.501","9.400","2.829","143.102"
"24","GTLM","John Edwards","30","53.832","26:12.453","Green","Track","0.465","0.827","10.411","10.629","13.775","5.515","9.447","2.763","148.949"
"12","GTD","Frank Montecalvo","29","54.356","26:14.999","Green","Track","0.475","0.846","10.029","10.882","14.185","5.620","9.499","2.820","145.813"
"48","GTD","Corey Lewis","29","53.322","26:33.649","Green","Track","0.477","0.852","9.872","10.545","13.974","5.434","9.357","2.811","145.202"
"86","GTD","Trent Hindman","30","53.235","26:34.464","Green","Track","0.476","0.849","9.821","10.578","14.018","5.406","9.282","2.805","145.507"
"33","GTD","Ben Keating","30","53.090","26:38.714","Green","Track","0.470","0.841","9.917","10.625","13.748","5.484","9.248","2.757","147.365"
"96","GTD","Robby Foley","30","53.656","26:43.946","Green","Track","0.471","0.842","10.051","10.703","13.897","5.451","9.434","2.807","147.052"
"912","GTLM","Laurens Vanthoor","31","52.281","26:44.268","Green","Track","0.458","0.833","9.741","10.340","13.661","5.402","9.117","2.729","151.226"
"911","GTLM","Nick Tandy","31","52.834","26:45.401","Green","Track","0.459","0.828","9.711","10.195","13.608","5.877","9.413","2.743","150.896"
"9","GTD","Zacharie Robichon","30","55.041","26:45.999","Green","Track","0.476","0.850","9.992","10.787","14.042","6.170","9.886","2.838","145.507"
