"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"912","GTLM","Laurens Vanthoor","5","51.131","4:18.828","Green","Track","0.457","0.821","9.671","10.032","13.290","5.235","8.924","2.701","151.557"
"911","GTLM","Nick Tandy","5","51.043","4:19.346","Green","Track","0.458","0.836","9.545","10.101","13.251","5.242","8.913","2.697","151.226"
"25","GTLM","Connor De Phillippi","5","51.253","4:19.956","Green","Track","0.454","0.809","9.713","10.125","13.274","5.229","8.969","2.680","152.558"
"66","GTLM","Dirk Mueller","5","51.314","4:21.020","Green","Track","0.460","0.820","9.431","10.246","13.531","5.278","8.846","2.702","150.568"
"3","GTLM","Antonio Garcia","5","51.232","4:21.592","Green","Track","0.452","0.810","9.620","10.027","13.468","5.284","8.900","2.671","153.233"
"4","GTLM","Oliver Gavin","5","51.250","4:22.024","Green","Track","0.451","0.817","9.683","10.066","13.413","5.276","8.888","2.656","153.573"
"67","GTLM","Ryan Briscoe","5","51.292","4:22.724","Green","Track","0.462","0.825","9.462","10.149","13.492","5.244","8.947","2.711","149.916"
"24","GTLM","John Edwards","5","51.468","4:23.332","Green","Track","0.456","0.842","9.719","10.103","13.359","5.322","8.968","2.699","151.889"
"86","GTD","Trent Hindman","5","52.701","4:28.811","Green","Track","0.473","0.846","9.726","10.420","13.874","5.416","9.166","2.780","146.430"
"33","GTD","Ben Keating","5","52.826","4:30.013","Green","Track","0.468","0.835","9.962","10.594","13.603","5.413","9.198","2.753","147.994"
"96","GTD","Robby Foley","5","52.909","4:30.888","Green","Track","0.468","0.836","9.905","10.459","13.747","5.423","9.299","2.772","147.994"
"9","GTD","Zacharie Robichon","5","52.833","4:31.484","Green","Track","0.472","0.844","9.755","10.458","13.836","5.382","9.304","2.782","146.740"
"14","GTD","Richard Heistand","5","53.016","4:32.951","Green","Track","0.472","0.840","9.832","10.542","13.873","5.418","9.255","2.784","146.740"
"73","GTD","Marco Seefried","5","53.044","4:33.251","Green","Track","0.467","0.832","9.848","10.621","13.935","5.406","9.187","2.748","148.311"
"63","GTD","Cooper MacNeil","5","53.068","4:33.923","Green","Track","0.471","0.841","9.829","10.521","13.879","5.480","9.273","2.774","147.052"
"91","GTD","Anthony Imperato","5","53.391","4:35.154","Green","Track","0.475","0.848","9.711","10.467","14.157","5.410","9.502","2.821","145.813"
"76","GTD","Matt Plumb","5","53.258","4:35.696","Green","Track","0.476","0.847","9.868","10.564","13.920","5.463","9.321","2.799","145.507"
"57","GTD","Christina Nielsen","5","53.509","4:36.391","Green","Track","0.473","0.849","9.930","10.790","13.913","5.450","9.300","2.804","146.430"
